85.206.160.201:25542|Palestine|Gaza Governorate|Gaza
193.111.124.41:8080|Indonesia|Jakarta|Jakarta
182.253.39.206:8080|Indonesia|Jakarta|Jakarta
185.82.99.197:9092|Lebanon|Mohafazat Liban-Nord|Tripoli
190.107.236.173:999|Ecuador|Carchi|Tulcán
156.200.116.70:1981|Egypt|Cairo Governorate|Cairo
213.136.101.40:3128|Ivory Coast|Abidjan|Abidjan
64.225.4.17:10004|United States|Florida|Deltona
78.107.235.8:3129|Russia|Moscow|Moscow
78.107.235.8:3146|Russia|Moscow|Moscow
103.153.66.1:8080|Bangladesh|Dhaka Division|Azimpur
103.241.178.145:8181|Indonesia|West Java|Cibinong
38.45.44.101:999|Dominican Republic|Provincia de Santo Domingo|Santo Domingo Este
103.248.197.12:3125|Indonesia|North Sumatra|Medan
67.43.236.20:17543|Venezuela|Lara|Barquisimeto
201.71.2.103:999|Venezuela|Distrito Federal|Caracas
204.137.175.56:999|Dominican Republic|Nacional|Santo Domingo
190.107.236.178:999|Ecuador|Carchi|Tulcán
91.235.75.17:8282|Russia|Chelyabinsk Oblast|Chelyabinsk
201.71.2.127:999|Venezuela|Distrito Federal|Caracas
67.43.236.20:14105|Canada|Ontario|Kanata
67.43.236.22:8081|Ecuador|Pichincha|Hacienda Ibarra
196.251.222.217:8104|South Africa|Gauteng|Kempton Park
190.186.250.11:999|Bolivia|Santa Cruz Department|Santa Cruz
103.81.212.192:83|India|Haryana|Faridabad
200.155.142.99:8080|Brazil|Sao Paulo|São Paulo
2.187.188.239:8083|Iran|Qom Province|Qom
67.43.236.20:2617|Brazil|Sao Paulo|São Paulo
67.43.236.20:30673|United Arab Emirates|Sharjah|Sharjah
190.97.238.86:999|Venezuela|Zulia|Maracaibo
103.68.1.74:8080|Indonesia|Riau|Pekanbaru
213.97.161.224:3128|Spain|Madrid|Madrid
177.38.72.49:9292|Brazil|Sao Paulo|Jales
167.249.29.215:999|Chile|Santiago Metropolitan|Santiago
103.134.241.236:8080|Bangladesh|Chittagong|Chittagong
200.106.184.11:999|Argentina|Buenos Aires|Jose Maria Ezeiza
177.93.58.249:999|Colombia|Departamento de Bolivar|Calamar
181.209.78.75:999|Argentina|Buenos Aires|Benavidez
177.240.20.138:999|Mexico|Michoacán|Las Ranas
103.135.14.176:8181|Indonesia|East Java|Malang
67.43.228.253:30261|United States|New York|The Bronx
103.152.232.84:8080|Indonesia|West Java|Kabupaten Subang
195.175.29.38:9090|Turkey|Adana|Adana
103.148.130.3:8085|Indonesia|West Java|Indramayu
38.156.73.132:8080|Turkey|Antalya|Antalya
150.129.5.230:8080|Pakistan|Punjab|Lahore
103.142.108.133:8080|India|Tamil Nadu|Coimbatore
103.172.96.254:8080|Indonesia|Gorontalo|Molobulahe
177.130.63.80:8080|Brazil|Para|Itaituba
179.61.229.133:999|Dominican Republic|Provincia de Monte Plata|Los Botados
59.92.70.176:3127|India|Kerala|Thiruvananthapuram
78.107.235.8:3147|Russia|Moscow|Moscow
201.71.2.167:999|Venezuela|Distrito Federal|Caracas
203.190.54.221:6666|Indonesia|West Java|Bekasi
110.34.8.110:8080|Nepal|Bagmati Province|Bharatpur
36.88.239.219:8080|Indonesia|South Sulawesi|Makassar
106.14.64.22:1080|South Africa|Gauteng|Kempton Park
67.43.227.227:20371|Myanmar|Yangon|Yangon
162.55.233.179:3128|United States|New York|Brooklyn
103.110.89.243:8080|Indonesia|Bali|Jimbaran
12.7.109.1:9812|United States|Texas|San Antonio
155.0.72.251:3128|Zambia|Lusaka Province|Lusaka
103.221.55.101:8080|Bangladesh|Dhaka Division|Dhaka
72.10.164.178:15097|United States|Colorado|Denver
186.96.66.251:999|Venezuela|Miranda|Charallave
188.64.132.64:3127|Russia|Novgorod Oblast|Veliky Novgorod
179.43.9.129:8085|Brazil|Piaui|Padre Marcos
103.105.55.140:8080|Indonesia|Jakarta|Jakarta
152.231.25.58:8080|Colombia|Departamento del Magdalena|Florencia
170.246.85.9:50991|Ecuador|Azuay|Cuenca
182.78.42.112:83|India|Tamil Nadu|Chennai
72.10.160.90:16565|Colombia|Bogota D.C.|Bogotá
138.0.26.120:9010|Brazil|Pernambuco|Cabo de Santo Agostinho
41.85.16.1:8080|South Africa|Eastern Cape|Grahamstown
38.156.233.76:999|Dominican Republic|Nacional|Santo Domingo
67.43.236.20:2141|Vietnam|Ho Chi Minh|Ho Chi Minh City
213.136.101.36:3128|Ivory Coast|Abidjan|Abidjan
38.52.221.44:999|Dominican Republic|Nacional|Santo Domingo
72.10.160.90:20925|Chile|Region del Biobio|Concepción
209.97.169.181:9080|United States|Minnesota|Edina
92.114.19.141:3128|Iran|Tehran|Tehran
185.16.37.36:8003|United States|Washington|Seattle
92.114.19.133:3128|Iran|Tehran|Tehran
121.196.205.50:8880|China|Fujian|Xiamen
